Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,231.919998,232.559998,225.080002,226.979996,226.941452,46002600
2023-03-02,224.880005,233.800003,224.320007,233.139999,233.100403,38941500
2023-03-03,233.199997,239.000000,231.300003,238.899994,238.859421,41239300
2023-03-06,238.910004,242.479996,234.869995,235.539993,235.500000,43742900
2023-03-07,236.000000,241.250000,232.410004,232.880005,232.880005,51515400
2023-03-08,234.869995,242.000000,234.240005,241.809998,241.809998,51357300
2023-03-09,241.750000,244.539993,233.830002,234.360001,234.360001,50125700
2023-03-10,234.089996,236.270004,227.259995,229.649994,229.649994,47486600
2023-03-13,227.520004,232.979996,222.970001,229.660004,229.660004,42189000
2023-03-14,234.960007,242.190002,234.600006,240.630005,240.630005,47491000
2023-03-15,237.610001,242.860001,233.600006,242.279999,242.279999,52448600
2023-03-16,240.270004,255.880005,238.940002,255.410004,255.410004,58325300
2023-03-17,259.820007,263.989990,256.679993,257.250000,257.250000,84854700
2023-03-20,256.149994,260.239990,251.300003,259.000000,259.000000,43274700
2023-03-21,261.799988,263.920013,253.809998,261.989990,261.989990,54740800
2023-03-22,264.250000,275.890015,262.369995,264.679993,264.679993,79729500
2023-03-23,271.149994,274.989990,266.899994,271.910004,271.910004,56488900
2023-03-24,270.309998,271.670013,263.549988,267.790009,267.790009,45492000
2023-03-27,268.369995,270.000000,263.649994,265.309998,265.309998,36102600
2023-03-28,264.470001,265.130005,258.500000,264.100006,264.100006,35610400
2023-03-29,268.250000,270.779999,265.970001,269.839996,269.839996,39369400
2023-03-30,272.290009,274.989990,271.019989,273.829987,273.829987,36451600
2023-03-31,271.399994,278.339996,271.049988,277.769989,277.769989,43393300
2023-04-03,275.089996,280.000000,273.359985,279.649994,279.649994,39871600
2023-04-04,279.660004,280.000000,273.070007,274.529999,274.529999,36859200
2023-04-05,268.290009,269.980011,263.950012,268.809998,268.809998,51501500
2023-04-06,265.839996,270.799988,264.269989,270.369995,270.369995,39765400
2023-04-10,268.230011,276.209991,266.690002,275.790009,275.790009,39527900
2023-04-11,277.239990,277.899994,271.260010,271.690002,271.690002,31437800
2023-04-12,273.700012,274.679993,264.480011,264.950012,264.950012,44625900
2023-04-13,267.339996,268.869995,263.290009,264.630005,264.630005,35361500
2023-04-14,265.040009,268.829987,262.200012,267.579987,267.579987,39566000
2023-04-17,265.649994,270.059998,264.329987,270.019989,270.019989,32147100
2023-04-18,275.329987,281.100006,273.570007,276.670013,276.670013,60481200
2023-04-19,273.609985,280.000000,272.320007,279.309998,279.309998,35866000
2023-04-20,276.709991,280.299988,270.000000,271.040009,271.040009,42771300
2023-04-21,269.519989,271.829987,267.220001,271.190002,271.190002,34510300
2023-04-24,270.130005,273.660004,266.709991,270.420013,270.420013,33928200
2023-04-25,270.779999,272.470001,262.250000,262.410004,262.410004,37852700
2023-04-26,270.019989,273.299988,267.049988,269.559998,269.559998,40633700
2023-04-27,273.630005,274.950012,266.250000,272.260010,272.260010,37716100
2023-04-28,272.250000,277.579987,270.709991,277.489990,277.489990,29168700
2023-05-01,278.399994,290.579987,277.799988,289.100006,289.100006,57032900
2023-05-02,286.799988,288.359985,280.829987,282.100006,282.100006,40273000
2023-05-03,278.399994,283.670013,274.720001,278.019989,278.019989,38338700
2023-05-04,276.510010,278.589996,272.399994,275.619995,275.619995,32185000
2023-05-05,278.260010,287.549988,277.309998,286.799988,286.799988,36101400
2023-05-08,285.220001,292.200012,283.500000,291.510010,291.510010,34497900
2023-05-09,288.989990,289.730011,284.500000,285.709991,285.709991,31486900
2023-05-10,290.049988,291.130005,284.609985,288.850006,288.850006,36935000
2023-05-11,288.959991,289.500000,282.459991,285.779999,285.779999,32214900
2023-05-12,285.290009,287.799988,280.459991,283.399994,283.399994,27402700
2023-05-15,285.079987,289.690002,281.519989,289.529999,289.529999,29392600
2023-05-16,288.410004,298.700012,288.320007,292.130005,292.130005,44940500
2023-05-17,295.839996,301.989990,294.299988,301.779999,301.779999,43253500
2023-05-18,304.100006,318.279999,303.200012,316.779999,316.779999,74872500
2023-05-19,315.359985,315.799988,309.160004,312.640015,312.640015,47312400
2023-05-22,309.010010,315.200012,306.799988,311.760010,311.760010,37200000
2023-05-23,310.000000,312.880005,306.309998,306.880005,306.880005,35625300
2023-05-24,302.100006,306.070007,298.059998,305.380005,305.380005,72141900
2023-05-25,385.230011,394.799988,366.350006,379.799988,379.799988,154391100
2023-05-26,378.899994,391.700012,375.500000,389.459991,389.459991,71439700
2023-05-30,405.950012,419.380005,399.489990,401.109985,401.109985,92340100
2023-05-31,394.880005,402.950012,378.220001,378.339996,378.339996,100258000
2023-06-01,384.890015,400.500000,383.399994,397.700012,397.700012,63587300
2023-06-02,400.970001,405.000000,390.579987,393.269989,393.269989,48165500
